#	Type	Area(m²)	Azimuth(°)	Altitude(°)	SVF(-)	GVF(-)
63(63):154	Wall	27.5279	5.43826	0	0.293367	0.305542
63(63):155	Wall	83.9694	275.381	0	0.100186	0.13008
63(63):156	Wall	22.8832	183.422	0	0.120471	0.153057
63(63):157	Wall	66.9031	275.087	0	0.0632304	0.116836
63(63):158	Wall	259.491	184.94	0	0.3409	0.375677
63(63):159	Wall	215.283	275.012	0	0.327193	0.360448
63(63):160	Wall	81.6734	185.495	0	0.266513	0.316588
63(63):161	Wall	43.7966	275.173	0	0.243118	0.27105
63(63):162	Wall	191.683	185.101	0	0.231264	0.315526
63(63):163	Wall	520.651	95.1176	0	0.251051	0.39863
63(63):164	Wall	174.177	4.77582	0	0.5	0.499838
63(63):165	Wall	7.33109	277.544	0	0.379852	0.387682
63(63):166	Wall	51.3148	4.44913	0	0.49105	0.49111
63(63):167	Wall	21.8983	275.174	0	0.293823	0.296469
63(63):168	Wall	240.26	5.01575	0	0.4978	0.497765
63(63):169	Wall	13.3669	274.307	0	0.303613	0.312478
63(63):170	Wall	62.343	4.84628	0	0.481084	0.48103
63(63):152	Roof	1654.11	0	90	0.987633	0
62(62):173	Wall	1403.76	275.091	0	0.414436	0.215724
62(62):174	Wall	365.153	185.337	0	0.486295	0.449851
62(62):175	Wall	165.524	95.4534	0	0.294498	0.290571
62(62):176	Wall	541.46	185.523	0	0.455474	0.429909
62(62):177	Wall	65.8727	276.758	0	0.235105	0.222208
62(62):178	Wall	223.869	185.355	0	0.488926	0.463997
62(62):179	Wall	56.036	95.9999	0	0.280488	0.275141
62(62):180	Wall	354.226	185.489	0	0.481352	0.458674
62(62):181	Wall	68.1113	95.0019	0	0.427886	0.42006
62(62):182	Wall	675.846	143.061	0	0.493218	0.481897
62(62):183	Wall	192.418	95.8358	0	0.469398	0.461987
62(62):184	Wall	51.4144	185.796	0	0.2891	0.289827
62(62):185	Wall	1344.69	95.9228	0	0.498266	0.491963
62(62):186	Wall	2129.55	5.08646	0	0.499999	0.499403
62(62):187	Wall	323.493	274.922	0	0.485231	0.265565
62(62):188	Wall	513.715	185.258	0	0.29043	0.249116
62(62):189	Wall	474.514	275.246	0	0.303558	0.241915
62(62):190	Wall	443.885	5.08432	0	0.270893	0.23532
62(62):172	Roof	8159.91	0	90	1	0
59(59):193	Wall	458.531	274.491	0	0.479926	0.481911
59(59):194	Wall	359.446	4.43784	0	0.47278	0.473417
59(59):195	Wall	37.3797	274.584	0	0.497106	0.498189
59(59):196	Wall	545.465	185.061	0	0.499418	0.499521
59(59):197	Wall	38.2866	94.4832	0	0.497827	0.495153
59(59):198	Wall	52.2286	4.36902	0	0.344516	0.344869
59(59):199	Wall	15.4722	92.9149	0	0.330669	0.338897
59(59):200	Wall	358.281	94.5457	0	0.490044	0.486869
59(59):201	Wall	72.1257	183.99	0	0.380387	0.380387
59(59):202	Wall	24.6357	95.1648	0	0.329828	0.328342
59(59):203	Wall	52.2283	184.369	0	0.415201	0.414927
59(59):204	Wall	17.4918	81.3562	0	0.496753	0.494536
59(59):205	Wall	18.8073	75.5932	0	0.496353	0.494156
59(59):206	Wall	19.7627	61.321	0	0.494835	0.493726
59(59):207	Wall	27.7475	52.2302	0	0.492022	0.491354
59(59):208	Wall	26.8235	37.976	0	0.479564	0.47967
59(59):209	Wall	25.2753	12.8408	0	0.422551	0.42381
59(59):210	Wall	33.7022	5.01846	0	0.323935	0.32555
59(59):211	Wall	165.942	94.6405	0	0.47384	0.471811
59(59):212	Wall	6.23655	351.992	0	0.489995	0.492844
59(59):213	Wall	62.6225	5.37372	0	0.493197	0.496033
59(59):214	Wall	30.8282	12.2908	0	0.49235	0.494908
59(59):215	Wall	74.8127	275.107	0	0.455634	0.45741
59(59):216	Wall	30.9031	3.74948	0	0.336888	0.339078
59(59):217	Wall	120.302	274.297	0	0.492067	0.493921
59(59):218	Wall	7.54107	0.376007	0	0.404409	0.410778
59(59):192	Roof	1740.48	0	90	0.999959	0
54(54):221	Wall	97.3152	275.099	0	0.401752	0.401753
54(54):222	Wall	69.9584	5.35605	0	0.346646	0.346671
54(54):223	Wall	698.008	275.174	0	0.496578	0.495814
54(54):224	Wall	64.2689	185.797	0	0.186348	0.186517
